Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Quantidade,Duração (min),Custo Direto,Quantidade (cortesia),Custo Direto (corteisa)
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM,1,60,28.91,0.0,0.0
ALPHAVILLE,ESTÉTICA,Abril,HIDRATAÇÃO,1,30,23.16,1.0,23.16
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,17,1020,675.58,3.0,119.22
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,2,60,65.42,2.0,65.42
ALPHAVILLE,ESTÉTICA,Agosto,CARBOXITERAPIA,1,30,24.12,0.0,0.0
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,1,60,103.17,0.0,0.0
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,38,2280,1098.58,0.0,0.0
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,2,60,43.2,0.0,0.0
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,20,600,463.2,20.0,463.2
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,137,8220,5444.38,51.0,2026.74
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,50,1500,1635.5,46.0,1504.66
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,3,180,119.10000000000001,0.0,0.0
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,3,90,72.36,0.0,0.0
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,19,1140,1960.23,0.0,0.0
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,27,1620,780.57,0.0,0.0
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,1,30,21.6,0.0,0.0
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,2,60,46.32,2.0,46.32
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,125,7500,4967.5,51.0,2026.74
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,31,930,1014.01,30.0,981.3000000000001
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,6,360,619.02,0.0,0.0
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,16,960,462.56,0.0,0.0
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,4,120,86.4,0.0,0.0
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,7,210,162.12,5.0,115.8
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,79,4740,3139.46,33.0,1311.42
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,23,690,752.33,21.0,686.91
ALPHAVILLE,ESTÉTICA,Junho,RADIOFREQUÊNCIA,1,30,28.65,1.0,28.65
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,6,360,619.02,0.0,0.0
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,5,300,144.55,0.0,0.0
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,2,60,43.2,0.0,0.0
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,66,3960,2622.84,22.0,874.2800000000001
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,18,540,588.78,18.0,588.78
ALPHAVILLE,ESTÉTICA,Novembro,CARBOXITERAPIA,6,180,144.72,0.0,0.0
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,26,1560,751.66,0.0,0.0
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,4,120,86.4,0.0,0.0
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,55,3300,2185.7000000000003,2.0,79.48
ALPHAVILLE,ESTÉTICA,Novembro,PEELING DE DIAMANTE,6,180,196.26,6.0,196.26
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,8,480,317.6,0.0,0.0
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,5,150,143.25,1.0,28.65
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,12,360,289.44,0.0,0.0
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,9,540,928.53,0.0,0.0
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,51,3060,1474.41,0.0,0.0
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,1,30,21.6,0.0,0.0
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,5,150,115.8,5.0,115.8
