Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Quantidade (cortesia),Custo Direto (corteisa)
ALPHAVILLE,ESTÉTICA,Abril,HIDRATAÇÃO,1,23.16
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,3,119.22
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,2,65.42
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,20,463.2
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,51,2026.74
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,46,1504.66
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,2,46.32
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,51,2026.74
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,30,981.3000000000001
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,5,115.8
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,33,1311.42
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,21,686.91
ALPHAVILLE,ESTÉTICA,Junho,RADIOFREQUÊNCIA,1,28.65
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,22,874.2800000000001
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,18,588.78
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,2,79.48
ALPHAVILLE,ESTÉTICA,Novembro,PEELING DE DIAMANTE,6,196.26
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,1,28.65
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,5,115.8
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,5,198.70000000000002
ALPHAVILLE,ESTÉTICA,Outubro,PEELING DE DIAMANTE,22,719.62
ALPHAVILLE,ESTÉTICA,Setembro,HIDRATAÇÃO,16,370.56
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,11,437.14000000000004
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,25,817.75
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,62,5998.5
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,39,3773.25
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,55,5321.25
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,49,4740.75
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,10,967.5
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,26,2515.5
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,59,5708.25
BELO HORIZONTE,ESTÉTICA,Abril,CARBOXITERAPIA,1,24.12
BELO HORIZONTE,ESTÉTICA,Abril,HIDRATAÇÃO,2,46.32
BELO HORIZONTE,ESTÉTICA,Abril,LIMPEZA DE PELE,19,755.0600000000001
BELO HORIZONTE,ESTÉTICA,Abril,PEELING DE DIAMANTE,43,1406.53
BELO HORIZONTE,ESTÉTICA,Abril,RADIOFREQUÊNCIA,7,200.54999999999998
BELO HORIZONTE,ESTÉTICA,Fevereiro,CARBOXITERAPIA,2,48.24
BELO HORIZONTE,ESTÉTICA,Fevereiro,HECCUS,1,21.6
BELO HORIZONTE,ESTÉTICA,Fevereiro,HIDRATAÇÃO,9,208.44
BELO HORIZONTE,ESTÉTICA,Fevereiro,LIMPEZA DE PELE,14,556.36
BELO HORIZONTE,ESTÉTICA,Fevereiro,PEELING DE DIAMANTE,29,948.59
BELO HORIZONTE,ESTÉTICA,Fevereiro,RADIOFREQUÊNCIA,7,200.54999999999998
BELO HORIZONTE,ESTÉTICA,Maio,HIDRATAÇÃO,5,115.8
BELO HORIZONTE,ESTÉTICA,Maio,LIMPEZA DE PELE,7,278.18
BELO HORIZONTE,ESTÉTICA,Maio,PEELING DE DIAMANTE,24,785.04
BELO HORIZONTE,ESTÉTICA,Maio,RADIOFREQUÊNCIA,4,114.6
BELO HORIZONTE,ESTÉTICA,Março,CARBOXITERAPIA,1,24.12
BELO HORIZONTE,ESTÉTICA,Março,HECCUS,4,86.4
BELO HORIZONTE,ESTÉTICA,Março,HIDRATAÇÃO,11,254.76
BELO HORIZONTE,ESTÉTICA,Março,LIMPEZA DE PELE,9,357.66
BELO HORIZONTE,ESTÉTICA,Março,PEELING DE DIAMANTE,40,1308.4
BELO HORIZONTE,ESTÉTICA,Março,PRÓ- SHAPE,3,119.10000000000001
