Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Custo Direto
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM,28.91
ALPHAVILLE,ESTÉTICA,Abril,HIDRATAÇÃO,23.16
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,675.58
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,65.42
ALPHAVILLE,ESTÉTICA,Agosto,CARBOXITERAPIA,24.12
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,103.17
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,1098.58
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,43.2
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,463.2
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,5444.38
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,1635.5
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,119.10000000000001
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,72.36
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,1960.23
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,780.57
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,21.6
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,46.32
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,4967.5
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,1014.01
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,619.02
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,462.56
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,86.4
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,162.12
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,3139.46
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,752.33
ALPHAVILLE,ESTÉTICA,Junho,RADIOFREQUÊNCIA,28.65
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,619.02
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,144.55
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,43.2
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,2622.84
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,588.78
ALPHAVILLE,ESTÉTICA,Novembro,CARBOXITERAPIA,144.72
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,751.66
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,86.4
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,2185.7000000000003
ALPHAVILLE,ESTÉTICA,Novembro,PEELING DE DIAMANTE,196.26
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,317.6
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,143.25
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,289.44
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,928.53
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,1474.41
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,21.6
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,115.8
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,3497.1200000000003
ALPHAVILLE,ESTÉTICA,Outubro,PEELING DE DIAMANTE,752.33
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,277.90000000000003
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,85.94999999999999
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,48.24
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,1134.8700000000001
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,1329.86
ALPHAVILLE,ESTÉTICA,Setembro,HECCUS,172.8
ALPHAVILLE,ESTÉTICA,Setembro,HIDRATAÇÃO,370.56
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,3854.78
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,817.75
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,158.8
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,7449.75
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,1748.2399999999998
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,4837.5
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,672.4
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,5805.0
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,1412.04
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,5031.0
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,537.92
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,2128.5
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,4644.0
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,1210.32
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,8417.25
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,1075.84
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,307.82
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,162.46
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,4925.12
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,595.6
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-BELLA,67.1
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,207.54999999999998
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,91.64
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,771.18
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,3102.54
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,67.5
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,812.3000000000001
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,6156.4
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,94.02
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,1786.8000000000002
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-BELLA,67.1
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,207.54999999999998
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,RETOQUE,0.0
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,3102.54
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,22.5
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,1846.92
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,31.34
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,595.6
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,67.1
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,332.08
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,RETOQUE,0.0
