Unidade do agendamento,Grupo,Mês Atendimento,Procedimentos Padronizados,Duração (min)
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM,60
ALPHAVILLE,ESTÉTICA,Abril,HIDRATAÇÃO,30
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,1020
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,60
ALPHAVILLE,ESTÉTICA,Agosto,CARBOXITERAPIA,30
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,60
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,2280
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,60
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,600
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,8220
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,1500
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,180
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,90
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,1140
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,1620
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,30
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,60
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,7500
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,930
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,360
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,960
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,120
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,210
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,4740
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,690
ALPHAVILLE,ESTÉTICA,Junho,RADIOFREQUÊNCIA,30
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,360
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,300
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,60
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,3960
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,540
ALPHAVILLE,ESTÉTICA,Novembro,CARBOXITERAPIA,180
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,1560
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,120
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,3300
ALPHAVILLE,ESTÉTICA,Novembro,PEELING DE DIAMANTE,180
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,480
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,150
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,360
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,540
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,3060
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,30
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,150
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,5280
ALPHAVILLE,ESTÉTICA,Outubro,PEELING DE DIAMANTE,690
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,420
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,90
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,60
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,660
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,2760
ALPHAVILLE,ESTÉTICA,Setembro,HECCUS,240
ALPHAVILLE,ESTÉTICA,Setembro,HIDRATAÇÃO,480
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,5820
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,750
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,240
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,1155
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,130
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,750
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,50
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,900
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,105
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,780
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,40
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,330
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,720
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,90
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,1305
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,80
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,30
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,30
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,480
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,60
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-BELLA,30
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,75
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,60
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,30
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RETOQUE,120
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,90
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,90
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,150
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,600
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,90
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,180
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-BELLA,30
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,75
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,RETOQUE,105
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,90
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,30
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,180
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,60
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,30
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,120
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,RETOQUE,15
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,150
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,30
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,210
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,180
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,90
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,75
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-MESO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,RETOQUE,15
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,150
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,60
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,270
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,30
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,90
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-BELLA,30
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,105
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,60
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RETOQUE,90
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,180
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SECAGEM,60
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,120
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,330
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,30
