Unidade do agendamento,Grupo,Procedimentos Padronizados,Quantidade (cortesia),Custo Direto (corteisa)
ALPHAVILLE,ESTÉTICA,HIDRATAÇÃO,49,1134.84
ALPHAVILLE,ESTÉTICA,LIMPEZA DE PELE,178,7073.72
ALPHAVILLE,ESTÉTICA,PEELING DE DIAMANTE,170,5560.7
ALPHAVILLE,ESTÉTICA,RADIOFREQUÊNCIA,2,57.3
ALPHAVILLE,LAVIEEN,LAVIEEN,300,29025.0
BELO HORIZONTE,ESTÉTICA,CARBOXITERAPIA,4,96.48
BELO HORIZONTE,ESTÉTICA,HECCUS,5,108.0
BELO HORIZONTE,ESTÉTICA,HIDRATAÇÃO,27,625.32
BELO HORIZONTE,ESTÉTICA,LIMPEZA DE PELE,49,1947.26
BELO HORIZONTE,ESTÉTICA,PEELING DE DIAMANTE,136,4448.56
BELO HORIZONTE,ESTÉTICA,PRÓ- SHAPE,3,119.10000000000001
BELO HORIZONTE,ESTÉTICA,RADIOFREQUÊNCIA,21,601.65
BELO HORIZONTE,LAVIEEN,LAVIEEN,128,12384.0
CAMPINAS,ESTÉTICA,CARBOXITERAPIA,3,72.36
CAMPINAS,ESTÉTICA,HECCUS,8,172.8
CAMPINAS,ESTÉTICA,HIDRATAÇÃO,133,3080.28
CAMPINAS,ESTÉTICA,LIMPEZA DE PELE,238,9458.12
CAMPINAS,ESTÉTICA,PEELING DE DIAMANTE,816,26691.36
CAMPINAS,ESTÉTICA,PRÓ- SHAPE,7,277.90000000000003
CAMPINAS,ESTÉTICA,RADIOFREQUÊNCIA,60,1719.0
CAMPINAS,LAVIEEN,LAVIEEN,784,75852.0
COPACABANA,ESTÉTICA,CARBOXITERAPIA,2,48.24
COPACABANA,ESTÉTICA,HECCUS,1,21.6
COPACABANA,ESTÉTICA,HIDRATAÇÃO,98,2269.68
COPACABANA,ESTÉTICA,LIMPEZA DE PELE,200,7948.0
COPACABANA,ESTÉTICA,PEELING DE DIAMANTE,681,22275.510000000002
COPACABANA,ESTÉTICA,PRÓ- SHAPE,1,39.7
COPACABANA,ESTÉTICA,RADIOFREQUÊNCIA,58,1661.6999999999998
COPACABANA,LAVIEEN,LAVIEEN,1140,110295.0
COPACABANA,MEDICINA ESTÉTICA,BOTOX POWER,1,307.82
IPIRANGA,ESTÉTICA,CARBOXITERAPIA,9,217.08
IPIRANGA,ESTÉTICA,HECCUS,5,108.0
