Unidade,Grupo,Procedimentos Padronizados,Quantidade
ALPHAVILLE,ESTÉTICA,CARBOXITERAPIA,54.0
ALPHAVILLE,ESTÉTICA,CRIOLIPÓLISE,117.0
ALPHAVILLE,ESTÉTICA,DRENAGEM,383.0
ALPHAVILLE,ESTÉTICA,DRENAGEM 30 MIN,59.0
ALPHAVILLE,ESTÉTICA,HECCUS,57.0
ALPHAVILLE,ESTÉTICA,HIDRATAÇÃO,12.0
ALPHAVILLE,ESTÉTICA,LIMPEZA DE PELE,908.0
ALPHAVILLE,ESTÉTICA,PEELING DE DIAMANTE,24.0
ALPHAVILLE,ESTÉTICA,PRÓ- SHAPE,76.0
ALPHAVILLE,ESTÉTICA,PRÓ-SHAPE,10.0
ALPHAVILLE,ESTÉTICA,RADIOFREQUÊNCIA,73.0
ALPHAVILLE,LAVIEEN,LAVIEEN,262.0
ALPHAVILLE,LAVIEEN,PRÓ-SÉRUM,171.0
ALPHAVILLE,MEDICINA ESTÉTICA,BOTOX LIGHT,25.0
ALPHAVILLE,MEDICINA ESTÉTICA,BOTOX POWER,98.0
ALPHAVILLE,MEDICINA ESTÉTICA,DERMAROLLER,6.0
ALPHAVILLE,MEDICINA ESTÉTICA,ENZIMA MELASMA,3.0
ALPHAVILLE,MEDICINA ESTÉTICA,PEELING QUÍMICO,23.0
ALPHAVILLE,MEDICINA ESTÉTICA,PREENCHIMENTO,45.0
ALPHAVILLE,MEDICINA ESTÉTICA,PRÓ-BELLA,7.0
ALPHAVILLE,MEDICINA ESTÉTICA,PRÓ-LIPO,109.0
ALPHAVILLE,MEDICINA ESTÉTICA,PRÓ-MESO,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,RADIESSE,5.0
ALPHAVILLE,MEDICINA ESTÉTICA,SCULPTRA,26.0
ALPHAVILLE,MEDICINA ESTÉTICA,SECAGEM,10.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER FULLFACE,64.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER FULLFACE + PESCOÇO,1.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER INTERNO COXA,1.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER MAÇA DO ROSTO,16.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER OLHOS,11.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER PAPADA,35.0
ALPHAVILLE,ULTRAFORMER_III,ULTRAFORMER PESCOÇO,6.0
