Unidade,Grupo,Mês venda,Procedimentos Padronizados,Preço médio
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,462.5
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,94.25
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,97.5
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,101.0
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,86.36
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,144.57
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,110.0
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,118.2
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,367.0
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,97.58
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM 30 MIN,44.25
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,71.0
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,129.3
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,66.36
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,100.1
ALPHAVILLE,ESTÉTICA,Julho,RADIOFREQUÊNCIA,71.0
ALPHAVILLE,ESTÉTICA,Junho,CARBOXITERAPIA,71.0
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,323.75
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,95.17
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM 30 MIN,57.38
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,142.0
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,136.0
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,64.55
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,131.0
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,304.5
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,98.0
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM 30 MIN,55.75
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,78.0
ALPHAVILLE,ESTÉTICA,Maio,HIDRATAÇÃO,108.33
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,80.81
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,109.33
ALPHAVILLE,ESTÉTICA,Maio,PRÓ-SHAPE,117.6
ALPHAVILLE,ESTÉTICA,Novembro,CARBOXITERAPIA,89.0
ALPHAVILLE,ESTÉTICA,Novembro,CRIOLIPÓLISE,372.86
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,97.56
