Unidade,Grupo,Mês venda,Procedimentos Padronizados,Valor liquido item,Margem de Contribuição (R$),Margem de Contribuição (%)
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM,100.0,41.63,41.63000000000001
ALPHAVILLE,ESTÉTICA,Abril,DRENAGEM 30 MIN,59.0,24.36,41.2857627118644
ALPHAVILLE,ESTÉTICA,Abril,LIMPEZA DE PELE,1850.0,311.49,16.837297297297297
ALPHAVILLE,ESTÉTICA,Abril,PEELING DE DIAMANTE,162.0,81.56,50.34864197530864
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,2050.0,930.22,45.376585365853664
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,7954.0,2922.12,36.7377621322605
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,390.0,188.71,48.38615384615385
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,382.0,176.82,46.288691099476445
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,10856.0,2332.66,21.487310243183494
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,1192.0,546.45,45.84285234899328
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,2200.0,757.88,34.44909090909091
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,2341.0,1168.94,49.93342161469457
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,4220.0,1738.75,41.202559241706155
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,2841.0,963.28,33.906420274551216
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM 30 MIN,649.0,95.34,14.691001540832044
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,710.0,284.83,40.117464788732406
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,258.6,136.1,52.62816705336426
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,11469.9,-135.31,-1.1797185677294475
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,400.4,151.6,37.86267732267732
ALPHAVILLE,ESTÉTICA,Julho,RADIOFREQUÊNCIA,710.0,214.33,30.18788732394367
ALPHAVILLE,ESTÉTICA,Junho,CARBOXITERAPIA,710.0,259.63,36.56816901408451
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,4170.0,1497.14,35.90258992805755
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,4839.0,1678.83,34.6937507749535
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM 30 MIN,754.0,307.49,40.78137931034483
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,426.0,235.7,55.3287323943662
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,272.0,145.55,53.51058823529412
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,9804.0,80.46,0.8207017543859653
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,262.0,119.39,45.570534351145035
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,6684.0,2445.15,36.58219030520646
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,2147.0,733.92,34.18368886818817
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM 30 MIN,164.0,63.91,38.96682926829268
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,780.0,334.21,42.847692307692306
ALPHAVILLE,ESTÉTICA,Maio,HIDRATAÇÃO,325.0,159.78,49.16153846153847
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,6529.0,1068.7,16.368457650482465
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,328.0,133.24,40.62231707317073
ALPHAVILLE,ESTÉTICA,Maio,PRÓ-SHAPE,1176.0,432.55,36.78149659863946
ALPHAVILLE,ESTÉTICA,Novembro,CRIOLIPÓLISE,4640.0,1931.85,41.63461206896551
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,1042.0,388.11,37.24633397312861
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,890.0,411.81,46.27033707865169
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,7230.0,-503.3,-6.961244813278008
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,1500.0,661.1,44.07333333333334
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,1780.0,682.61,38.34898876404495
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,1337.2,629.7,47.09100209392761
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,9820.0,4450.95,45.325336048879834
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM,8812.0,3642.99,41.34129369042215
ALPHAVILLE,ESTÉTICA,Outubro,DRENAGEM 30 MIN,826.0,306.5,37.10658595641646
ALPHAVILLE,ESTÉTICA,Outubro,HECCUS,1958.0,949.17,48.47667007150154
ALPHAVILLE,ESTÉTICA,Outubro,HIDRATAÇÃO,90.0,40.33,44.80666666666667
ALPHAVILLE,ESTÉTICA,Outubro,LIMPEZA DE PELE,5955.0,1617.56,27.163005877413944
ALPHAVILLE,ESTÉTICA,Outubro,PRÓ- SHAPE,3790.0,1085.47,28.640263852242747
ALPHAVILLE,ESTÉTICA,Outubro,RADIOFREQUÊNCIA,3381.0,1382.21,40.881614906832304
ALPHAVILLE,ESTÉTICA,Setembro,CARBOXITERAPIA,1113.6,520.21,46.714568965517245
ALPHAVILLE,ESTÉTICA,Setembro,CRIOLIPÓLISE,9172.0,3684.34,40.16941561273441
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM,5350.0,1894.74,35.41570093457944
ALPHAVILLE,ESTÉTICA,Setembro,DRENAGEM 30 MIN,295.0,121.79,41.28576271186441
ALPHAVILLE,ESTÉTICA,Setembro,LIMPEZA DE PELE,6750.0,1780.95,26.384444444444448
ALPHAVILLE,ESTÉTICA,Setembro,PEELING DE DIAMANTE,500.0,189.15,37.83
ALPHAVILLE,ESTÉTICA,Setembro,PRÓ- SHAPE,620.0,199.15,32.12064516129033
ALPHAVILLE,ESTÉTICA,Setembro,RADIOFREQUÊNCIA,908.8,411.87,45.319929577464784
ALPHAVILLE,LAVIEEN,Abril,LAVIEEN,1380.0,779.95,56.51826086956522
ALPHAVILLE,LAVIEEN,Agosto,LAVIEEN,14301.0,5734.18,40.09632473253619
ALPHAVILLE,LAVIEEN,Agosto,PRÓ-SÉRUM,4650.0,1195.67,25.71333333333333
ALPHAVILLE,LAVIEEN,Julho,LAVIEEN,14754.0,6634.22,44.96557950386336
ALPHAVILLE,LAVIEEN,Julho,PRÓ-SÉRUM,3600.0,925.68,25.71333333333334
ALPHAVILLE,LAVIEEN,Junho,LAVIEEN,12010.0,4988.85,41.53916736053289
ALPHAVILLE,LAVIEEN,Junho,PRÓ-SÉRUM,5850.0,1504.23,25.71333333333334
ALPHAVILLE,LAVIEEN,Maio,LAVIEEN,5896.0,2224.04,37.72113975576662
ALPHAVILLE,LAVIEEN,Maio,PRÓ-SÉRUM,2250.0,578.55,25.71333333333334
ALPHAVILLE,LAVIEEN,Novembro,LAVIEEN,4940.0,1839.93,37.245465587044535
ALPHAVILLE,LAVIEEN,Novembro,PRÓ-SÉRUM,1050.0,269.99,25.71333333333334
ALPHAVILLE,LAVIEEN,Outubro,LAVIEEN,14973.0,5627.7,37.58568222801042
ALPHAVILLE,LAVIEEN,Outubro,PRÓ-SÉRUM,4500.0,1157.1,25.71333333333334
ALPHAVILLE,LAVIEEN,Setembro,LAVIEEN,15489.0,5894.94,38.05888436955259
ALPHAVILLE,LAVIEEN,Setembro,PRÓ-SÉRUM,3750.0,964.25,25.71333333333334
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,BOTOX POWER,2679.0,966.31,36.069675251959694
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,PEELING QUÍMICO,1653.0,977.99,59.164319419237756
ALPHAVILLE,MEDICINA ESTÉTICA,Abril,PREENCHIMENTO,890.0,330.01,37.07932584269663
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX LIGHT,500.0,190.24,38.048
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,BOTOX POWER,14935.97,4995.07,33.44324632414233
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PEELING QUÍMICO,200.0,109.74,54.870000000000005
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PREENCHIMENTO,6338.99,2089.12,32.9567256928943
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-LIPO,950.0,462.58,48.69263157894738
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,PRÓ-MESO,1000.0,476.3,47.63
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,RADIESSE,3000.0,573.84,19.128000000000007
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SCULPTRA,7300.0,1012.7,13.872602739726025
ALPHAVILLE,MEDICINA ESTÉTICA,Agosto,SECAGEM,1120.0,632.55,56.477500000000006
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX LIGHT,1781.0,606.48,34.05263335204941
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,BOTOX POWER,17598.0,5949.41,33.807303102625305
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PEELING QUÍMICO,1450.0,866.13,59.73310344827587
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PREENCHIMENTO,4885.0,1659.08,33.96272262026612
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,PRÓ-LIPO,1398.0,695.58,49.755307582260386
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SCULPTRA,3600.0,471.08,13.085555555555553
ALPHAVILLE,MEDICINA ESTÉTICA,Julho,SECAGEM,453.0,252.05,55.639337748344374
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX LIGHT,455.0,158.5,34.83450549450549
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,BOTOX POWER,6835.0,2358.85,34.51132406730067
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PEELING QUÍMICO,869.0,487.63,56.11422324510933
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PREENCHIMENTO,5369.0,2000.49,37.26005960141554
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-BELLA,460.0,190.28,41.36608695652174
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,PRÓ-LIPO,4391.0,2308.72,52.57848781598725
ALPHAVILLE,MEDICINA ESTÉTICA,Junho,SCULPTRA,15000.0,2307.56,15.383733333333332
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX LIGHT,700.0,331.32,47.33142857142857
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,BOTOX POWER,8148.0,2977.22,36.53926362297497
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PEELING QUÍMICO,1196.0,686.96,57.43799331103679
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PREENCHIMENTO,2679.0,996.37,37.19173572228444
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,PRÓ-LIPO,3175.0,1658.51,52.236377952755916
ALPHAVILLE,MEDICINA ESTÉTICA,Maio,SCULPTRA,6500.0,1482.56,22.808615384615383
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX LIGHT,3940.0,1642.06,41.67654822335025
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,BOTOX POWER,8796.0,2818.68,32.0450022737608
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,DERMAROLLER,1000.0,358.96,35.896
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PEELING QUÍMICO,400.0,219.48,54.870000000000005
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PREENCHIMENTO,4796.0,1596.3,33.28395329441201
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,PRÓ-LIPO,2189.0,1087.51,49.68070351758796
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,RADIESSE,3000.0,573.84,19.128000000000007
ALPHAVILLE,MEDICINA ESTÉTICA,Novembro,SCULPTRA,5400.0,706.62,13.085555555555553
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX LIGHT,2820.0,1176.93,41.735035460992904
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,BOTOX POWER,9973.0,3341.11,33.50159631003711
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,DERMAROLLER,870.0,267.26,30.719310344827583
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,ENZIMA MELASMA,870.0,460.34,52.912413793103454
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PREENCHIMENTO,7765.0,2797.23,36.023580167417904
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-BELLA,995.0,366.37,36.82140703517589
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,PRÓ-LIPO,3985.0,1980.82,49.70687578419072
ALPHAVILLE,MEDICINA ESTÉTICA,Outubro,SCULPTRA,3600.0,471.08,13.085555555555553
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX LIGHT,2598.0,857.87,33.020369515011545
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,BOTOX POWER,12871.99,4154.78,32.277695569993455
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PREENCHIMENTO,4799.0,1598.41,33.3072431756616
ALPHAVILLE,MEDICINA ESTÉTICA,Setembro,PRÓ-LIPO,6490.0,3208.22,49.433220338983055
