Unidade,Grupo,Mês venda,Procedimentos Padronizados,Quantidade
ALPHAVILLE,ESTÉTICA,Agosto,CRIOLIPÓLISE,5.0
ALPHAVILLE,ESTÉTICA,Agosto,DRENAGEM,93.0
ALPHAVILLE,ESTÉTICA,Agosto,HECCUS,4.0
ALPHAVILLE,ESTÉTICA,Agosto,HIDRATAÇÃO,4.0
ALPHAVILLE,ESTÉTICA,Agosto,LIMPEZA DE PELE,134.0
ALPHAVILLE,ESTÉTICA,Agosto,PEELING DE DIAMANTE,9.0
ALPHAVILLE,ESTÉTICA,Agosto,PRÓ- SHAPE,20.0
ALPHAVILLE,ESTÉTICA,Julho,CARBOXITERAPIA,20.0
ALPHAVILLE,ESTÉTICA,Julho,CRIOLIPÓLISE,12.0
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM,36.0
ALPHAVILLE,ESTÉTICA,Julho,DRENAGEM 30 MIN,21.0
ALPHAVILLE,ESTÉTICA,Julho,HECCUS,10.0
ALPHAVILLE,ESTÉTICA,Julho,HIDRATAÇÃO,2.0
ALPHAVILLE,ESTÉTICA,Julho,LIMPEZA DE PELE,207.0
ALPHAVILLE,ESTÉTICA,Julho,PEELING DE DIAMANTE,4.0
ALPHAVILLE,ESTÉTICA,Julho,RADIOFREQUÊNCIA,10.0
ALPHAVILLE,ESTÉTICA,Junho,CARBOXITERAPIA,10.0
ALPHAVILLE,ESTÉTICA,Junho,CRIOLIPÓLISE,14.0
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM,60.0
ALPHAVILLE,ESTÉTICA,Junho,DRENAGEM 30 MIN,13.0
ALPHAVILLE,ESTÉTICA,Junho,HECCUS,3.0
ALPHAVILLE,ESTÉTICA,Junho,HIDRATAÇÃO,2.0
ALPHAVILLE,ESTÉTICA,Junho,LIMPEZA DE PELE,172.0
ALPHAVILLE,ESTÉTICA,Junho,PEELING DE DIAMANTE,2.0
ALPHAVILLE,ESTÉTICA,Maio,CRIOLIPÓLISE,22.0
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM,27.0
ALPHAVILLE,ESTÉTICA,Maio,DRENAGEM 30 MIN,3.0
ALPHAVILLE,ESTÉTICA,Maio,HECCUS,10.0
ALPHAVILLE,ESTÉTICA,Maio,HIDRATAÇÃO,3.0
ALPHAVILLE,ESTÉTICA,Maio,LIMPEZA DE PELE,89.0
ALPHAVILLE,ESTÉTICA,Maio,PEELING DE DIAMANTE,3.0
ALPHAVILLE,ESTÉTICA,Maio,PRÓ-SHAPE,10.0
ALPHAVILLE,ESTÉTICA,Novembro,CARBOXITERAPIA,5.0
ALPHAVILLE,ESTÉTICA,Novembro,CRIOLIPÓLISE,18.0
ALPHAVILLE,ESTÉTICA,Novembro,DRENAGEM,46.0
ALPHAVILLE,ESTÉTICA,Novembro,HECCUS,10.0
ALPHAVILLE,ESTÉTICA,Novembro,LIMPEZA DE PELE,295.0
ALPHAVILLE,ESTÉTICA,Novembro,PRÓ- SHAPE,10.0
ALPHAVILLE,ESTÉTICA,Novembro,RADIOFREQUÊNCIA,25.0
ALPHAVILLE,ESTÉTICA,Outubro,CARBOXITERAPIA,13.0
ALPHAVILLE,ESTÉTICA,Outubro,CRIOLIPÓLISE,24.0
